Condition,Sex,Age,Location,Measure_daly,Unit_daly,Forecast Scenario_daly,Year,Value_daly,Lower_daly,Upper_daly,Data Suite_daly,DA_daly,Measure_prev,Unit_prev,Forecast Scenario_prev,Value_prev,Lower_prev,Upper_prev,Data Suite_prev,DA_prev
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2036,0.0016347839063243898,0.0011310672587208999,0.00228795907433594,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00893188280407863,0.007470674284727341,0.0105871850700836,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2036,0.00128605222901556,0.00087441229007017,0.0017991840751635899,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00697555774938607,0.00584070206572551,0.008293682146295991,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2037,0.0014831069775056,0.00101921690545065,0.00207127040215067,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00805462027374057,0.00668189117949299,0.009572252434747349,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2037,0.00173826672393973,0.00121460870739201,0.00238301809783007,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00942000127437544,0.00791050262776494,0.0110594774274656,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2037,0.0015057400288313702,0.001040664558751,0.00208705776727815,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00818045869678136,0.006747542872062,0.0097716850839449,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2037,0.00163089927091426,0.00112832420439451,0.00228203152366812,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00891360269081286,0.00745400226642569,0.0105666380339111,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2037,0.0012847158734121899,0.000873508886656772,0.0017969894641162,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00696932149067983,0.00583505957579674,0.008285350988400499,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2038,0.0014810991933585601,0.00101774943136706,0.00206834527694224,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00804477138159497,0.00667377037148292,0.00955958336851302,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2038,0.00173592293063819,0.00121204855906418,0.00237964520414166,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00940869189260576,0.007901815721650699,0.0110447934357537,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2038,0.0015040445251677098,0.00103959468784707,0.00208455210852657,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00817195012864624,0.00674089730224135,0.00976248003894134,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2038,0.0016269087237406798,0.00112556577900648,0.0022754430396615998,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00889464769541798,0.00743553685622279,0.0105448529092671,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2038,0.0012834098426365902,0.000872573247345642,0.00179496863846904,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00696319084374311,0.005828870783769441,0.00827700332453352,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2039,0.00147925653255517,0.00101637497919821,0.00206577859012097,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00803571720817585,0.006666074049973601,0.00954818264368335,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2039,0.0017335842219685302,0.0012096330125735799,0.00237604180191974,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00939731890700533,0.007891948927233331,0.011029419068299701,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2039,0.00150241618338244,0.00103835333761596,0.0020822176368578103,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00816369918443568,0.0067350612166293105,0.00975367524807217,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2039,0.00162291772375335,0.00112273680237685,0.00226910293557917,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00887552081147001,0.0074171582504370896,0.0105225656303548,GBD,Other
Autism spectrum disorders,Both,All Ages,United Kingdom,DALYs,"Rate (per 100,000)",Reference,2039,0.0012821664317289,0.0008717048950989021,0.00179302140843145,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00695734607266042,0.00582321967211512,0.00826932541685723,GBD,Other
Autism spectrum disorders,Both,All Ages,France,DALYs,"Rate (per 100,000)",Reference,2040,0.00147764520561001,0.0010151448014179,0.00206353203048521,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00802784203139359,0.00665913427029352,0.009538014916255319,GBD,Other
Autism spectrum disorders,Both,All Ages,Spain,DALYs,"Rate (per 100,000)",Reference,2040,0.0017313623972855,0.00120713764013928,0.00237197959612106,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.009386430645951089,0.007882272451106249,0.0110150329640606,GBD,Other
Autism spectrum disorders,Both,All Ages,Germany,DALYs,"Rate (per 100,000)",Reference,2040,0.0015009464718722199,0.0010372560398077,0.00208021434686563,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00815620661288078,0.00672954578885256,0.009745480848078641,GBD,Other
Autism spectrum disorders,Both,All Ages,Italy,DALYs,"Rate (per 100,000)",Reference,2040,0.0016190325781878599,0.00111984223518294,0.00226347903039658,GBD,Other,Prevalence,"Rate (per 100,000)",Reference,0.00885681324145438,0.00739952573952403,0.010500010695398,GBD,Other
